ID,Titulo,Precio(£),Precio($),Stock
1,A Light in the Attic,51.77,69.89,In stock
2,Tipping the Velvet,53.74,72.55,In stock
3,Soumission,50.10,67.64,In stock
4,Sharp Objects,47.82,64.56,In stock
5,Sapiens: A Brief History of Humankind,54.23,73.21,In stock
6,The Requiem Red,22.65,30.58,In stock
7,The Dirty Little Secrets of Getting Your Dream Job,33.34,45.01,In stock
8,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,24.21,In stock
9,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.60,30.51,In stock
10,The Black Maria,52.15,70.4,In stock
11,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,18.89,In stock
12,Shakespeare's Sonnets,20.66,27.89,In stock
13,Set Me Free,17.46,23.57,In stock
14,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,70.59,In stock
15,Rip it Up and Start Again,35.02,47.28,In stock
16,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,77.29,In stock
17,Olio,23.88,32.24,In stock
18,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,50.75,In stock
19,Libertarianism for Beginners,51.33,69.3,In stock
20,It's Only the Himalayas,45.17,60.98,In stock
